,영화명,개봉일,매출액,관객수,스크린수,상영횟수,배급사,영화코드,장르,감독,기사수,배우,관객평점,링크,감독수상,감독파워
245,허스토리,20180627,2517481949,336100,696,20401,(주)넥스트엔터테인먼트월드(NEW),20172469,드라마,민규동,6906,김희애|김해숙|,9.31,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167787,8,0
246,덕구,20180405,2387371700,315359,544,19036,메가박스중앙(주)플러스엠,20181561,드라마,방수인,2781,이순재|정지훈|,9.46,https://movie.naver.com/movie/bi/mi/basic.nhn?code=154667,0,0
247,번 더 스테이지: 더 무비,20181115,2671419900,315014,243,4714,월트디즈니컴퍼니코리아 유한책임회사,20183050,기타,박준수,1036,RM|진|슈가|제이홉|지민|뷔|정국|,9.37,https://movie.naver.com/movie/bi/mi/basic.nhn?code=176354,0,0
248,치즈인더트랩,20180314,1890873700,229005,364,14710,(주)리틀빅픽쳐스,20172244,멜로/로맨스,김제영,16072,박해진|오연서|박기웅|유인영|,5.15,https://movie.naver.com/movie/bi/mi/basic.nhn?code=153620,0,0
249,속닥속닥,20180713,1900914300,217444,314,8246,(주)그노스,20180282,공포(호러),최상훈,2522,소주연|김민규|,5.1,https://movie.naver.com/movie/bi/mi/basic.nhn?code=172003,0,0
250,나를 기억해,20180419,1230898892,141222,545,14338,씨네그루(주)키다리이엔티,20177266,미스터리,이한욱,132994,이유영|김희원|,6.55,https://movie.naver.com/movie/bi/mi/basic.nhn?code=158555,0,0
251,독전: 익스텐디드 컷,20180718,845770600,137871,398,5656,(주)넥스트엔터테인먼트월드(NEW),20188042,범죄,이해영,416,조진웅|류준열|김주혁|김성령|박해준|,7.55,https://movie.naver.com/movie/bi/mi/basic.nhn?code=158178,13,3
252,게이트,20180228,821271100,101381,208,5474,(주)제이앤씨미디어그룹,20189663,범죄,신재호,27412,정려원|임창정|정상훈|이경영|이문식|김도훈|,3.66,https://movie.naver.com/movie/bi/mi/basic.nhn?code=172005,0,0
253,여중생A,20180620,811692000,97850,479,10242,롯데컬처웍스(주)롯데엔터테인먼트,20184101,드라마,이경섭,4849,김환희|수호|,6.42,https://movie.naver.com/movie/bi/mi/basic.nhn?code=168405,0,0
254,여곡성,20181108,594373400,67368,212,4463,(주)스마일이엔티,20179006,공포(호러),유영선,3475,서영희|손나은|이태리|박민지|,4.34,https://movie.naver.com/movie/bi/mi/basic.nhn?code=171750,0,0
255,번개맨과 신비의 섬,20180405,486548700,60561,191,2560,"힘컨텐츠(주),(주)디스테이션",20182021,가족,김지열,69,서홍석|홍민아|유수호|최오식|이상철|김수미|,9.42,https://movie.naver.com/movie/bi/mi/basic.nhn?code=165561,0,0
256,머니백,20180412,417495600,53610,472,6899,(주)리틀빅픽쳐스,20165045,액션,허준형,2180,김무열|박희순|이경영|전광렬|임원희|오정세|김민교|,5.84,https://movie.naver.com/movie/bi/mi/basic.nhn?code=151241,0,0
257,데자뷰,20180530,360833100,48279,536,8123,씨네그루(주)키다리이엔티,20173865,미스터리,고경민,4593,이천희|남규리|이규한|,4.57,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167100,0,0
258,비밥바룰라,20180124,322727200,47565,347,4056,씨네그루(주)키다리이엔티,20177473,코미디,이성재,1795,박인환|신구|임현식|윤덕용|,8.99,https://movie.naver.com/movie/bi/mi/basic.nhn?code=151254,0,0
259,배반의 장미,20181018,332232550,41054,457,6932,롯데컬처웍스(주)롯데엔터테인먼트,20184678,코미디,박진영,3616,김인권|정상훈|손담비|김성철|,5.51,https://movie.naver.com/movie/bi/mi/basic.nhn?code=174807,0,0
260,해피 투게더,20181115,199344450,26141,240,2312,플레이리스트(주),20189869,드라마,김정환,34161,박성웅|송새벽|최로운|혁|권해효|,7.83,https://movie.naver.com/movie/bi/mi/basic.nhn?code=164147,0,0
261,번개맨의 비밀,20181206,46607800,6315,204,441,(주)디스테이션,20183650,가족,강유선,183,서홍석|유수호|최오식|이상철|김수미|김혜원|,9.11,https://movie.naver.com/movie/bi/mi/basic.nhn?code=179683,0,0
